13697876512,112.19.11.10,1116,65,200
13797876512,112.19.12.10,126,95,200
13897876512,112.19.19.10,616,534,200
13697876512,112.19.11.10,116,265,200
12197876512,112.19.11.10,1126,365,200
13797876512,112.19.13.10,16,951,200
13997876512,112.19.14.10,1236,915,200
13397876512,112.19.15.10,1146,935,200
13897876512,112.19.16.10,166,295,200
13697876512,112.19.17.10,716,1965,200
13797876512,112.19.18.10,816,951,200
13897876512,112.19.11.10,1816,145,200
12297876512,112.19.11.10,116,1234,200
13697876512,112.19.11.10,1116,65,200
13797876512,112.19.12.10,126,95,200
13897876512,112.19.19.10,616,534,200
13697876512,112.19.11.10,116,265,200
12197876512,112.19.11.10,1126,365,200
13797876512,112.19.13.10,16,951,200
13997876512,112.19.14.10,1236,915,200
13397876512,112.19.15.10,1146,935,200
13897876512,112.19.16.10,166,295,200
13697876512,112.19.17.10,716,1965,200
13797876512,112.19.18.10,816,951,200
13897876512,112.19.11.10,1816,145,200
12297876512,112.19.11.10,116,1234,200
